
. Module name, ATOMS, ARITHMETIC MODE, REGISTERS, SYNC RAMS, MACs
. cordic_top, 393, 0, 750, 3, 0
.	. cordic_module, 335, 0, 711, 0, 0
.	.	. cordic_stage_0, 20, 0, 49, 0, 0
.	.	. cordic_stage_1, 4, 0, 49, 0, 0
.	.	. cordic_stage_10, 24, 0, 49, 0, 0
.	.	. cordic_stage_11, 26, 0, 49, 0, 0
.	.	. cordic_stage_12, 15, 0, 49, 0, 0
.	.	. cordic_stage_13, 4, 0, 34, 0, 0
.	.	. cordic_stage_14, 2, 0, 33, 0, 0
.	.	. cordic_stage_15, 14, 0, 49, 0, 0
.	.	. cordic_stage_2, 19, 0, 22, 0, 0
.	.	. cordic_stage_3, 16, 0, 49, 0, 0
.	.	. cordic_stage_4, 6, 0, 34, 0, 0
.	.	. cordic_stage_5, 22, 0, 49, 0, 0
.	.	. cordic_stage_6, 19, 0, 49, 0, 0
.	.	. cordic_stage_7, 28, 0, 49, 0, 0
.	.	. cordic_stage_8, 18, 0, 49, 0, 0
.	.	. cordic_stage_9, 11, 0, 49, 0, 0
.	. fifo_16s_32s_6s_2, 19, 0, 13, 1, 0
.	. fifo_16s_32s_6s_2_0, 19, 0, 13, 1, 0
.	. fifo_32s_32s_6s, 19, 0, 13, 1, 0
